date,category,amount,payment_method,description,month,month_num,day_of_week,is_weekend,week_of_year,transaction_id,quarter,week_part,expense_size,is_essential,cumulative_monthly_spend,day_of_month,vs_monthly_avg
2024-01-03,Transportation,437,UPI,Bus ticket,January,1,Wednesday,0,1,TXN1011,Q1 (Jan-Mar),Weekday,Small (<500),Non-Essential,47703,3,-81.88
2024-01-03,Shopping,4343,UPI,Flipkart order,January,1,Wednesday,0,1,TXN1012,Q1 (Jan-Mar),Weekday,Large (2000-5000),Non-Essential,52046,3,80.09
2024-01-03,Groceries,4798,Credit Card,Milk & dairy,January,1,Wednesday,0,1,TXN1013,Q1 (Jan-Mar),Weekday,Large (2000-5000),Essential,56844,3,98.95
2024-01-04,Food & Dining,537,Credit Card,Swiggy delivery,January,1,Thursday,0,1,TXN1017,Q1 (Jan-Mar),Weekday,Medium (500-2000),Non-Essential,57381,4,-77.73
2024-01-04,Entertainment,1380,Debit Card,Netflix subscription,January,1,Thursday,0,1,TXN1016,Q1 (Jan-Mar),Weekday,Medium (500-2000),Non-Essential,58761,4,-42.78
2024-01-04,Health,2868,Debit Card,Lab tests,January,1,Thursday,0,1,TXN1015,Q1 (Jan-Mar),Weekday,Large (2000-5000),Essential,61629,4,18.92
2024-01-04,Utilities,2022,Debit Card,Mobile recharge,January,1,Thursday,0,1,TXN1014,Q1 (Jan-Mar),Weekday,Large (2000-5000),Essential,63651,4,-16.16
2024-01-05,Food & Dining,2382,Cash,Cafe coffee,January,1,Friday,0,1,TXN1018,Q1 (Jan-Mar),Weekday,Large (2000-5000),Non-Essential,66033,5,-1.23
2024-01-05,Transportation,97,UPI,Bus ticket,January,1,Friday,0,1,TXN1019,Q1 (Jan-Mar),Weekday,Small (<500),Non-Essential,66130,5,-95.98
2024-01-06,Food & Dining,834,Credit Card,Swiggy delivery,January,1,Saturday,1,1,TXN1020,Q1 (Jan-Mar),Weekend,Medium (500-2000),Non-Essential,66964,6,-65.42
2024-01-06,Transportation,510,UPI,Ola cab,January,1,Saturday,1,1,TXN1021,Q1 (Jan-Mar),Weekend,Medium (500-2000),Non-Essential,67474,6,-78.85
2024-01-07,Food & Dining,3173,Debit Card,Zomato order,January,1,Sunday,1,1,TXN1022,Q1 (Jan-Mar),Weekend,Large (2000-5000),Non-Essential,70647,7,31.57
2024-01-07,Transportation,77,UPI,Petrol,January,1,Sunday,1,1,TXN1023,Q1 (Jan-Mar),Weekend,Small (<500),Non-Essential,70724,7,-96.81
2024-01-08,Food & Dining,1968,UPI,Lunch with friends,January,1,Monday,0,2,TXN1024,Q1 (Jan-Mar),Weekday,Medium (500-2000),Non-Essential,72692,8,-18.39
2024-01-08,Transportation,698,Credit Card,Ola cab,January,1,Monday,0,2,TXN1025,Q1 (Jan-Mar),Weekday,Medium (500-2000),Non-Essential,73390,8,-71.06
2024-01-08,Shopping,5279,UPI,Clothes shopping,January,1,Monday,0,2,TXN1026,Q1 (Jan-Mar),Weekday,Very Large (5000+),Non-Essential,78669,8,118.9
2024-01-09,Food & Dining,1836,UPI,Zomato order,January,1,Tuesday,0,2,TXN1027,Q1 (Jan-Mar),Weekday,Medium (500-2000),Non-Essential,80505,9,-23.87
2024-01-09,Transportation,51,Credit Card,Bus ticket,January,1,Tuesday,0,2,TXN1028,Q1 (Jan-Mar),Weekday,Small (<500),Non-Essential,80556,9,-97.89
2024-01-09,Shopping,6355,Cash,Clothes shopping,January,1,Tuesday,0,2,TXN1029,Q1 (Jan-Mar),Weekday,Very Large (5000+),Non-Essential,86911,9,163.52
2024-01-09,Groceries,4255,UPI,Milk & dairy,January,1,Tuesday,0,2,TXN1030,Q1 (Jan-Mar),Weekday,Large (2000-5000),Essential,91166,9,76.44
2024-01-10,Transportation,236,UPI,Auto rickshaw,January,1,Wednesday,0,2,TXN1033,Q1 (Jan-Mar),Weekday,Small (<500),Non-Essential,91402,10,-90.21
2024-01-10,Groceries,1488,Debit Card,Blinkit delivery,January,1,Wednesday,0,2,TXN1031,Q1 (Jan-Mar),Weekday,Medium (500-2000),Essential,92890,10,-38.3
2024-01-10,Food & Dining,397,UPI,Zomato order,January,1,Wednesday,0,2,TXN1032,Q1 (Jan-Mar),Weekday,Small (<500),Non-Essential,93287,10,-83.54
2024-01-11,Food & Dining,2169,Cash,Lunch with friends,January,1,Thursday,0,2,TXN1034,Q1 (Jan-Mar),Weekday,Large (2000-5000),Non-Essential,95456,11,-10.06
2024-01-11,Shopping,6787,Debit Card,Amazon purchase,January,1,Thursday,0,2,TXN1035,Q1 (Jan-Mar),Weekday,Very Large (5000+),Non-Essential,102243,11,181.43
2024-01-12,Food & Dining,1882,Debit Card,Restaurant dinner,January,1,Friday,0,2,TXN1036,Q1 (Jan-Mar),Weekday,Medium (500-2000),Non-Essential,104125,12,-21.96
2024-01-13,Groceries,1397,UPI,Supermarket,January,1,Saturday,1,2,TXN1037,Q1 (Jan-Mar),Weekend,Medium (500-2000),Essential,105522,13,-42.07
2024-01-14,Food & Dining,2074,Credit Card,Cafe coffee,January,1,Sunday,1,2,TXN1038,Q1 (Jan-Mar),Weekend,Large (2000-5000),Non-Essential,107596,14,-14.0
2024-01-14,Transportation,519,UPI,Bus ticket,January,1,Sunday,1,2,TXN1039,Q1 (Jan-Mar),Weekend,Medium (500-2000),Non-Essential,108115,14,-78.48
2024-01-15,Transportation,708,Credit Card,Ola cab,January,1,Monday,0,3,TXN1040,Q1 (Jan-Mar),Weekday,Medium (500-2000),Non-Essential,108823,15,-70.64
2024-01-15,Shopping,7839,Cash,Home decor,January,1,Monday,0,3,TXN1041,Q1 (Jan-Mar),Weekday,Very Large (5000+),Non-Essential,116662,15,225.05
2024-01-15,Entertainment,2765,UPI,Netflix subscription,January,1,Monday,0,3,TXN1042,Q1 (Jan-Mar),Weekday,Large (2000-5000),Non-Essential,119427,15,14.65
2024-01-16,Food & Dining,2206,UPI,Restaurant dinner,January,1,Tuesday,0,3,TXN1043,Q1 (Jan-Mar),Weekday,Large (2000-5000),Non-Essential,121633,16,-8.53
2024-01-16,Transportation,784,Debit Card,Metro card recharge,January,1,Tuesday,0,3,TXN1044,Q1 (Jan-Mar),Weekday,Medium (500-2000),Non-Essential,122417,16,-67.49
2024-01-16,Entertainment,1886,UPI,Spotify premium,January,1,Tuesday,0,3,TXN1045,Q1 (Jan-Mar),Weekday,Medium (500-2000),Non-Essential,124303,16,-21.79
2024-01-17,Food & Dining,737,Debit Card,Zomato order,January,1,Wednesday,0,3,TXN1047,Q1 (Jan-Mar),Weekday,Medium (500-2000),Non-Essential,125040,17,-69.44
2024-01-17,Transportation,555,UPI,Petrol,January,1,Wednesday,0,3,TXN1046,Q1 (Jan-Mar),Weekday,Medium (500-2000),Non-Essential,125595,17,-76.99
2024-01-18,Food & Dining,1053,UPI,Swiggy delivery,January,1,Thursday,0,3,TXN1048,Q1 (Jan-Mar),Weekday,Medium (500-2000),Non-Essential,126648,18,-56.34
2024-01-18,Transportation,174,Debit Card,Uber ride,January,1,Thursday,0,3,TXN1049,Q1 (Jan-Mar),Weekday,Small (<500),Non-Essential,126822,18,-92.78
2024-01-18,Shopping,2215,UPI,Myntra order,January,1,Thursday,0,3,TXN1050,Q1 (Jan-Mar),Weekday,Large (2000-5000),Non-Essential,129037,18,-8.15
2024-01-19,Food & Dining,246,Debit Card,Cafe coffee,January,1,Friday,0,3,TXN1051,Q1 (Jan-Mar),Weekday,Small (<500),Non-Essential,129283,19,-89.8
2024-01-19,Transportation,419,Credit Card,Bus ticket,January,1,Friday,0,3,TXN1052,Q1 (Jan-Mar),Weekday,Small (<500),Non-Essential,129702,19,-82.63
2024-01-19,Shopping,619,UPI,Electronics,January,1,Friday,0,3,TXN1053,Q1 (Jan-Mar),Weekday,Medium (500-2000),Non-Essential,130321,19,-74.33
2024-01-19,Utilities,1650,Debit Card,Gas cylinder,January,1,Friday,0,3,TXN1054,Q1 (Jan-Mar),Weekday,Medium (500-2000),Essential,131971,19,-31.58
2024-01-20,Food & Dining,1992,Debit Card,Street food,January,1,Saturday,1,3,TXN1055,Q1 (Jan-Mar),Weekend,Medium (500-2000),Non-Essential,133963,20,-17.4
2024-01-20,Transportation,238,Debit Card,Auto rickshaw,January,1,Saturday,1,3,TXN1056,Q1 (Jan-Mar),Weekend,Small (<500),Non-Essential,134201,20,-90.13
2024-01-20,Rent,12000,UPI,Monthly rent,January,1,Saturday,1,3,TXN1057,Q1 (Jan-Mar),Weekend,Very Large (5000+),Essential,146201,20,397.59
2024-01-20,Groceries,3141,Cash,Supermarket,January,1,Saturday,1,3,TXN1058,Q1 (Jan-Mar),Weekend,Large (2000-5000),Essential,149342,20,30.25
2024-01-21,Shopping,9516,Cash,Amazon purchase,January,1,Sunday,1,3,TXN1060,Q1 (Jan-Mar),Weekend,Very Large (5000+),Non-Essential,158858,21,294.59
2024-01-21,Food & Dining,1003,Credit Card,Street food,January,1,Sunday,1,3,TXN1061,Q1 (Jan-Mar),Weekend,Medium (500-2000),Non-Essential,159861,21,-58.41
2024-01-21,Transportation,571,Cash,Petrol,January,1,Sunday,1,3,TXN1059,Q1 (Jan-Mar),Weekend,Medium (500-2000),Non-Essential,160432,21,-76.32
2024-01-22,Utilities,2130,UPI,Gas cylinder,January,1,Monday,0,4,TXN1063,Q1 (Jan-Mar),Weekday,Large (2000-5000),Essential,162562,22,-11.68
2024-01-22,Food & Dining,2131,UPI,Cafe coffee,January,1,Monday,0,4,TXN1064,Q1 (Jan-Mar),Weekday,Large (2000-5000),Non-Essential,164693,22,-11.64
2024-01-22,Transportation,740,Debit Card,Petrol,January,1,Monday,0,4,TXN1062,Q1 (Jan-Mar),Weekday,Medium (500-2000),Non-Essential,165433,22,-69.32
2024-01-23,Food & Dining,1825,UPI,Restaurant dinner,January,1,Tuesday,0,4,TXN1065,Q1 (Jan-Mar),Weekday,Medium (500-2000),Non-Essential,167258,23,-24.32
2024-01-23,Transportation,245,Debit Card,Uber ride,January,1,Tuesday,0,4,TXN1066,Q1 (Jan-Mar),Weekday,Small (<500),Non-Essential,167503,23,-89.84
2024-01-24,Transportation,145,UPI,Bus ticket,January,1,Wednesday,0,4,TXN1067,Q1 (Jan-Mar),Weekday,Small (<500),Non-Essential,167648,24,-93.99
2024-01-24,Entertainment,1748,Debit Card,Spotify premium,January,1,Wednesday,0,4,TXN1068,Q1 (Jan-Mar),Weekday,Medium (500-2000),Non-Essential,169396,24,-27.52
2024-01-24,Health,4252,Credit Card,Doctor consultation,January,1,Wednesday,0,4,TXN1069,Q1 (Jan-Mar),Weekday,Large (2000-5000),Essential,173648,24,76.31
2024-01-24,Groceries,4304,Debit Card,BigBasket order,January,1,Wednesday,0,4,TXN1070,Q1 (Jan-Mar),Weekday,Large (2000-5000),Essential,177952,24,78.47
2024-01-26,Food & Dining,2356,Cash,Swiggy delivery,January,1,Friday,0,4,TXN1073,Q1 (Jan-Mar),Weekday,Large (2000-5000),Non-Essential,180308,26,-2.31
2024-01-26,Transportation,272,UPI,Metro card recharge,January,1,Friday,0,4,TXN1072,Q1 (Jan-Mar),Weekday,Small (<500),Non-Essential,180580,26,-88.72
2024-01-26,Health,1253,Credit Card,Pharmacy,January,1,Friday,0,4,TXN1071,Q1 (Jan-Mar),Weekday,Medium (500-2000),Essential,181833,26,-48.04
2024-01-27,Food & Dining,2808,Net Banking,Street food,January,1,Saturday,1,4,TXN1074,Q1 (Jan-Mar),Weekend,Large (2000-5000),Non-Essential,184641,27,16.44
2024-01-27,Transportation,549,UPI,Ola cab,January,1,Saturday,1,4,TXN1075,Q1 (Jan-Mar),Weekend,Medium (500-2000),Non-Essential,185190,27,-77.24
2024-01-28,Food & Dining,448,Credit Card,Swiggy delivery,January,1,Sunday,1,4,TXN1076,Q1 (Jan-Mar),Weekend,Small (<500),Non-Essential,185638,28,-81.42
2024-01-29,Food & Dining,1340,Net Banking,Cafe coffee,January,1,Monday,0,5,TXN1077,Q1 (Jan-Mar),Weekday,Medium (500-2000),Non-Essential,186978,29,-44.44
2024-01-29,Health,3584,Net Banking,Pharmacy,January,1,Monday,0,5,TXN1078,Q1 (Jan-Mar),Weekday,Large (2000-5000),Essential,190562,29,48.61
2024-01-29,Groceries,4376,Debit Card,BigBasket order,January,1,Monday,0,5,TXN1079,Q1 (Jan-Mar),Weekday,Large (2000-5000),Essential,194938,29,81.46
2024-01-30,Food & Dining,670,UPI,Cafe coffee,January,1,Tuesday,0,5,TXN1081,Q1 (Jan-Mar),Weekday,Medium (500-2000),Non-Essential,195608,30,-72.22
2024-01-30,Shopping,857,Credit Card,Electronics,January,1,Tuesday,0,5,TXN1080,Q1 (Jan-Mar),Weekday,Medium (500-2000),Non-Essential,196465,30,-64.46
2024-01-31,Food & Dining,2146,Debit Card,Zomato order,January,1,Wednesday,0,5,TXN1082,Q1 (Jan-Mar),Weekday,Large (2000-5000),Non-Essential,198611,31,-11.01
2024-01-31,Transportation,773,Credit Card,Auto rickshaw,January,1,Wednesday,0,5,TXN1083,Q1 (Jan-Mar),Weekday,Medium (500-2000),Non-Essential,199384,31,-67.95
2024-01-31,Shopping,3824,Cash,Clothes shopping,January,1,Wednesday,0,5,TXN1084,Q1 (Jan-Mar),Weekday,Large (2000-5000),Non-Essential,203208,31,58.57
2024-01-31,Groceries,4190,Credit Card,Milk & dairy,January,1,Wednesday,0,5,TXN1085,Q1 (Jan-Mar),Weekday,Large (2000-5000),Essential,207398,31,73.74
2024-02-01,Transportation,331,UPI,Bus ticket,February,2,Thursday,0,5,TXN1086,Q1 (Jan-Mar),Weekday,Small (<500),Non-Essential,331,1,-87.01
2024-02-01,Health,2452,Credit Card,Doctor consultation,February,2,Thursday,0,5,TXN1087,Q1 (Jan-Mar),Weekday,Large (2000-5000),Essential,2783,1,-3.75
2024-02-01,Education,3000,Credit Card,Stationery,February,2,Thursday,0,5,TXN1088,Q1 (Jan-Mar),Weekday,Large (2000-5000),Essential,5783,1,17.76
2024-02-02,Transportation,127,UPI,Ola cab,February,2,Friday,0,5,TXN1089,Q1 (Jan-Mar),Weekday,Small (<500),Non-Essential,5910,2,-95.01
2024-02-02,Groceries,3201,Credit Card,Milk & dairy,February,2,Friday,0,5,TXN1090,Q1 (Jan-Mar),Weekday,Large (2000-5000),Essential,9111,2,25.65
2024-02-03,Food & Dining,712,Net Banking,Lunch with friends,February,2,Saturday,1,5,TXN1091,Q1 (Jan-Mar),Weekend,Medium (500-2000),Non-Essential,9823,3,-72.05
2024-02-03,Entertainment,2102,Debit Card,Spotify premium,February,2,Saturday,1,5,TXN1092,Q1 (Jan-Mar),Weekend,Large (2000-5000),Non-Essential,11925,3,-17.49
2024-02-04,Food & Dining,2969,Credit Card,Cafe coffee,February,2,Sunday,1,5,TXN1093,Q1 (Jan-Mar),Weekend,Large (2000-5000),Non-Essential,14894,4,16.54
2024-02-04,Transportation,155,Cash,Auto rickshaw,February,2,Sunday,1,5,TXN1094,Q1 (Jan-Mar),Weekend,Small (<500),Non-Essential,15049,4,-93.92
2024-02-04,Utilities,568,Net Banking,Gas cylinder,February,2,Sunday,1,5,TXN1095,Q1 (Jan-Mar),Weekend,Medium (500-2000),Essential,15617,4,-77.7
2024-02-05,Transportation,569,UPI,Petrol,February,2,Monday,0,6,TXN1098,Q1 (Jan-Mar),Weekday,Medium (500-2000),Non-Essential,16186,5,-77.66
2024-02-05,Groceries,2028,UPI,Blinkit delivery,February,2,Monday,0,6,TXN1096,Q1 (Jan-Mar),Weekday,Large (2000-5000),Essential,18214,5,-20.39
2024-02-05,Food & Dining,2358,UPI,Restaurant dinner,February,2,Monday,0,6,TXN1097,Q1 (Jan-Mar),Weekday,Large (2000-5000),Non-Essential,20572,5,-7.44
2024-02-06,Food & Dining,2480,UPI,Lunch with friends,February,2,Tuesday,0,6,TXN1099,Q1 (Jan-Mar),Weekday,Large (2000-5000),Non-Essential,23052,6,-2.65
2024-02-06,Transportation,127,UPI,Metro card recharge,February,2,Tuesday,0,6,TXN1100,Q1 (Jan-Mar),Weekday,Small (<500),Non-Essential,23179,6,-95.01
2024-02-06,Shopping,2796,Credit Card,Myntra order,February,2,Tuesday,0,6,TXN1101,Q1 (Jan-Mar),Weekday,Large (2000-5000),Non-Essential,25975,6,9.75
2024-02-06,Entertainment,2597,UPI,Concert tickets,February,2,Tuesday,0,6,TXN1102,Q1 (Jan-Mar),Weekday,Large (2000-5000),Non-Essential,28572,6,1.94
2024-02-06,Health,2355,Debit Card,Pharmacy,February,2,Tuesday,0,6,TXN1103,Q1 (Jan-Mar),Weekday,Large (2000-5000),Essential,30927,6,-7.56
2024-02-07,Food & Dining,564,UPI,Restaurant dinner,February,2,Wednesday,0,6,TXN1104,Q1 (Jan-Mar),Weekday,Medium (500-2000),Non-Essential,31491,7,-77.86
2024-02-07,Transportation,56,Debit Card,Bus ticket,February,2,Wednesday,0,6,TXN1105,Q1 (Jan-Mar),Weekday,Small (<500),Non-Essential,31547,7,-97.8
2024-02-07,Entertainment,2986,UPI,Netflix subscription,February,2,Wednesday,0,6,TXN1106,Q1 (Jan-Mar),Weekday,Large (2000-5000),Non-Essential,34533,7,17.21
2024-02-07,Groceries,1125,UPI,BigBasket order,February,2,Wednesday,0,6,TXN1107,Q1 (Jan-Mar),Weekday,Medium (500-2000),Essential,35658,7,-55.84
2024-02-08,Food & Dining,266,Credit Card,Swiggy delivery,February,2,Thursday,0,6,TXN1108,Q1 (Jan-Mar),Weekday,Small (<500),Non-Essential,35924,8,-89.56
2024-02-08,Transportation,160,Debit Card,Ola cab,February,2,Thursday,0,6,TXN1109,Q1 (Jan-Mar),Weekday,Small (<500),Non-Essential,36084,8,-93.72
2024-02-09,Rent,12000,Net Banking,Room rent,February,2,Friday,0,6,TXN1112,Q1 (Jan-Mar),Weekday,Very Large (5000+),Essential,48084,9,371.04
2024-02-09,Utilities,967,Net Banking,Water bill,February,2,Friday,0,6,TXN1115,Q1 (Jan-Mar),Weekday,Medium (500-2000),Essential,49051,9,-62.04
2024-02-09,Entertainment,2597,UPI,Netflix subscription,February,2,Friday,0,6,TXN1114,Q1 (Jan-Mar),Weekday,Large (2000-5000),Non-Essential,51648,9,1.94
2024-02-09,Health,542,UPI,Pharmacy,February,2,Friday,0,6,TXN1110,Q1 (Jan-Mar),Weekday,Medium (500-2000),Essential,52190,9,-78.72
2024-02-09,Groceries,1946,Debit Card,Blinkit delivery,February,2,Friday,0,6,TXN1111,Q1 (Jan-Mar),Weekday,Medium (500-2000),Essential,54136,9,-23.61
2024-02-09,Transportation,326,UPI,Petrol,February,2,Friday,0,6,TXN1113,Q1 (Jan-Mar),Weekday,Small (<500),Non-Essential,54462,9,-87.2
2024-02-10,Food & Dining,2545,UPI,Swiggy delivery,February,2,Saturday,1,6,TXN1116,Q1 (Jan-Mar),Weekend,Large (2000-5000),Non-Essential,57007,10,-0.1
2024-02-10,Transportation,773,Credit Card,Ola cab,February,2,Saturday,1,6,TXN1117,Q1 (Jan-Mar),Weekend,Medium (500-2000),Non-Essential,57780,10,-69.66
2024-02-10,Education,2917,UPI,Coaching fees,February,2,Saturday,1,6,TXN1118,Q1 (Jan-Mar),Weekend,Large (2000-5000),Essential,60697,10,14.5
2024-02-11,Shopping,4801,Credit Card,Myntra order,February,2,Sunday,1,6,TXN1122,Q1 (Jan-Mar),Weekend,Large (2000-5000),Non-Essential,65498,11,88.46
2024-02-11,Entertainment,2764,Net Banking,Amazon Prime,February,2,Sunday,1,6,TXN1119,Q1 (Jan-Mar),Weekend,Large (2000-5000),Non-Essential,68262,11,8.5
2024-02-11,Food & Dining,2989,UPI,Swiggy delivery,February,2,Sunday,1,6,TXN1120,Q1 (Jan-Mar),Weekend,Large (2000-5000),Non-Essential,71251,11,17.33
2024-02-11,Transportation,368,Debit Card,Ola cab,February,2,Sunday,1,6,TXN1121,Q1 (Jan-Mar),Weekend,Small (<500),Non-Essential,71619,11,-85.55
2024-02-12,Food & Dining,1572,UPI,Zomato order,February,2,Monday,0,7,TXN1123,Q1 (Jan-Mar),Weekday,Medium (500-2000),Non-Essential,73191,12,-38.29
2024-02-13,Food & Dining,2063,Credit Card,Lunch with friends,February,2,Tuesday,0,7,TXN1125,Q1 (Jan-Mar),Weekday,Large (2000-5000),Non-Essential,75254,13,-19.02
2024-02-13,Travel,7018,Credit Card,Bus booking,February,2,Tuesday,0,7,TXN1124,Q1 (Jan-Mar),Weekday,Very Large (5000+),Non-Essential,82272,13,175.48
2024-02-14,Transportation,603,UPI,Auto rickshaw,February,2,Wednesday,0,7,TXN1126,Q1 (Jan-Mar),Weekday,Medium (500-2000),Non-Essential,82875,14,-76.33
2024-02-15,Food & Dining,2057,Debit Card,Restaurant dinner,February,2,Thursday,0,7,TXN1128,Q1 (Jan-Mar),Weekday,Large (2000-5000),Non-Essential,84932,15,-19.26
2024-02-15,Shopping,6528,UPI,Electronics,February,2,Thursday,0,7,TXN1127,Q1 (Jan-Mar),Weekday,Very Large (5000+),Non-Essential,91460,15,156.25
2024-02-16,Transportation,709,UPI,Uber ride,February,2,Friday,0,7,TXN1131,Q1 (Jan-Mar),Weekday,Medium (500-2000),Non-Essential,92169,16,-72.17
2024-02-16,Groceries,4281,Credit Card,Supermarket,February,2,Friday,0,7,TXN1129,Q1 (Jan-Mar),Weekday,Large (2000-5000),Essential,96450,16,68.04
2024-02-16,Food & Dining,2155,Credit Card,Restaurant dinner,February,2,Friday,0,7,TXN1130,Q1 (Jan-Mar),Weekday,Large (2000-5000),Non-Essential,98605,16,-15.41
2024-02-17,Food & Dining,2345,UPI,Swiggy delivery,February,2,Saturday,1,7,TXN1132,Q1 (Jan-Mar),Weekend,Large (2000-5000),Non-Essential,100950,17,-7.95
2024-02-17,Entertainment,373,Cash,Amazon Prime,February,2,Saturday,1,7,TXN1133,Q1 (Jan-Mar),Weekend,Small (<500),Non-Essential,101323,17,-85.36
2024-02-17,Groceries,4030,Cash,Milk & dairy,February,2,Saturday,1,7,TXN1134,Q1 (Jan-Mar),Weekend,Large (2000-5000),Essential,105353,17,58.19
2024-02-18,Food & Dining,2043,Debit Card,Street food,February,2,Sunday,1,7,TXN1135,Q1 (Jan-Mar),Weekend,Large (2000-5000),Non-Essential,107396,18,-19.81
2024-02-18,Transportation,624,Credit Card,Uber ride,February,2,Sunday,1,7,TXN1136,Q1 (Jan-Mar),Weekend,Medium (500-2000),Non-Essential,108020,18,-75.51
2024-02-19,Food & Dining,2190,UPI,Street food,February,2,Monday,0,8,TXN1137,Q1 (Jan-Mar),Weekday,Large (2000-5000),Non-Essential,110210,19,-14.04
2024-02-19,Education,6588,Credit Card,Udemy course,February,2,Monday,0,8,TXN1138,Q1 (Jan-Mar),Weekday,Very Large (5000+),Essential,116798,19,158.6
2024-02-20,Transportation,785,UPI,Metro card recharge,February,2,Tuesday,0,8,TXN1139,Q1 (Jan-Mar),Weekday,Medium (500-2000),Non-Essential,117583,20,-69.19
2024-02-20,Shopping,1222,UPI,Myntra order,February,2,Tuesday,0,8,TXN1140,Q1 (Jan-Mar),Weekday,Medium (500-2000),Non-Essential,118805,20,-52.03
2024-02-20,Entertainment,628,UPI,Spotify premium,February,2,Tuesday,0,8,TXN1141,Q1 (Jan-Mar),Weekday,Medium (500-2000),Non-Essential,119433,20,-75.35
2024-02-20,Health,3357,Credit Card,Lab tests,February,2,Tuesday,0,8,TXN1142,Q1 (Jan-Mar),Weekday,Large (2000-5000),Essential,122790,20,31.77
2024-02-20,Groceries,4335,Cash,Vegetable market,February,2,Tuesday,0,8,TXN1143,Q1 (Jan-Mar),Weekday,Large (2000-5000),Essential,127125,20,70.16
2024-02-21,Food & Dining,2101,Credit Card,Zomato order,February,2,Wednesday,0,8,TXN1145,Q1 (Jan-Mar),Weekday,Large (2000-5000),Non-Essential,129226,21,-17.53
2024-02-21,Transportation,525,Debit Card,Auto rickshaw,February,2,Wednesday,0,8,TXN1144,Q1 (Jan-Mar),Weekday,Medium (500-2000),Non-Essential,129751,21,-79.39
2024-02-22,Transportation,313,UPI,Bus ticket,February,2,Thursday,0,8,TXN1146,Q1 (Jan-Mar),Weekday,Small (<500),Non-Essential,130064,22,-87.71
2024-02-23,Food & Dining,2398,Debit Card,Street food,February,2,Friday,0,8,TXN1147,Q1 (Jan-Mar),Weekday,Large (2000-5000),Non-Essential,132462,23,-5.87
2024-02-23,Travel,17596,UPI,Bus booking,February,2,Friday,0,8,TXN1148,Q1 (Jan-Mar),Weekday,Very Large (5000+),Non-Essential,150058,23,590.7
2024-02-24,Food & Dining,1681,Cash,Lunch with friends,February,2,Saturday,1,8,TXN1149,Q1 (Jan-Mar),Weekend,Medium (500-2000),Non-Essential,151739,24,-34.02
2024-02-24,Shopping,10915,Cash,Amazon purchase,February,2,Saturday,1,8,TXN1150,Q1 (Jan-Mar),Weekend,Very Large (5000+),Non-Essential,162654,24,328.45
2024-02-25,Food & Dining,1000,Debit Card,Street food,February,2,Sunday,1,8,TXN1151,Q1 (Jan-Mar),Weekend,Medium (500-2000),Non-Essential,163654,25,-60.75
2024-02-25,Transportation,195,Credit Card,Uber ride,February,2,Sunday,1,8,TXN1152,Q1 (Jan-Mar),Weekend,Small (<500),Non-Essential,163849,25,-92.35
2024-02-25,Groceries,3074,Cash,Milk & dairy,February,2,Sunday,1,8,TXN1153,Q1 (Jan-Mar),Weekend,Large (2000-5000),Essential,166923,25,20.66
2024-02-26,Food & Dining,1972,Debit Card,Swiggy delivery,February,2,Monday,0,9,TXN1154,Q1 (Jan-Mar),Weekday,Medium (500-2000),Non-Essential,168895,26,-22.59
2024-02-26,Education,4067,Net Banking,Udemy course,February,2,Monday,0,9,TXN1155,Q1 (Jan-Mar),Weekday,Large (2000-5000),Essential,172962,26,59.64
